"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
0,30,100,6.00,100,0,0.477468312843636,"Quadratic",1,1000
1,30,100,20.00,100,0,0.481787567889412,"Quadratic",1,1000
2,30,100,15.00,100,0,0.48367884695394,"Quadratic",1,1000
3,30,100,20.00,100,0,0.493949512657165,"Quadratic",1,1000
4,30,100,17.00,100,0,0.435949949118352,"Quadratic",1,1000
5,30,100,16.00,100,0,0.460998796990111,"Quadratic",1,1000
6,30,100,22.00,100,0,0.469812361048813,"Quadratic",1,1000
7,30,100,17.00,100,0,0.497912687743889,"Quadratic",1,1000
8,30,100,17.00,100,0,0.491252744652382,"Quadratic",1,1000
9,30,100,24.00,100,0,0.477113482512929,"Quadratic",1,1000
10,30,100,25.00,100,0,0.459946948176948,"Quadratic",1,1000
11,30,100,27.00,100,0,0.492850290956067,"Quadratic",1,1000
12,30,100,11.00,100,0,0.479666378244597,"Quadratic",1,1000
13,30,100,17.00,100,0,0.469927223663381,"Quadratic",1,1000
14,30,100,24.00,100,0,0.48776951305422,"Quadratic",1,1000
15,30,100,25.00,100,0,0.494231040761665,"Quadratic",1,1000
16,30,100,32.00,100,0,0.489831281029012,"Quadratic",1,1000
17,30,100,28.00,100,0,0.485211129991548,"Quadratic",1,1000
18,30,100,17.00,100,0,0.691270524315283,"Quadratic",1,1000
19,30,100,24.00,100,0,0.48059585607943,"Quadratic",1,1000
20,30,100,17.00,100,0,0.448932754996417,"Quadratic",1,1000
21,30,100,18.00,100,0,0.474562425776254,"Quadratic",1,1000
22,30,100,32.00,100,0,0.494802902873286,"Quadratic",1,1000
23,30,100,31.00,100,0,0.532593393720459,"Quadratic",1,1000
24,30,100,34.00,100,0,0.486223354693941,"Quadratic",1,1000
25,30,100,28.00,100,0,0.4901458519369,"Quadratic",1,1000
26,30,100,23.00,100,0,0.477010850656435,"Quadratic",1,1000
27,30,100,28.00,100,0,0.501196129283411,"Quadratic",1,1000
28,30,100,30.00,100,0,0.485624091014343,"Quadratic",1,1000
29,30,100,23.00,100,0,0.483347617358337,"Quadratic",1,1000
"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
0,30,100,38.00,100,0,0.465532454746185,"Quadratic",0.1,1000
